ticket_id,subject,created_date,company
423001055449,WG: [Hivebuy] Fehler in der Schnittstelle,2026-07-10,Hivebuy
423071339768,SAP-Release 2608 vs. abgekündigte Schnittstelle 0053,2026-07-13,DNS:NET Internet Service
423069024454,keine SAP Bestellnummer bei unserem Lieferanten Conrad,2026-07-13,HEWI Heinrich Wilke
423082017016,Hivebuy "Status",2026-07-13,HEWI Heinrich Wilke
423083827416,Sortierung in Anfrage Liste,2026-07-13,PIMA Health Group
423115505869,WG: Wiemann ground 1 GmbH & Co. KG - Bestellung MAW-001058,2026-07-14,Hivebuy
423113369834,Ticket Nr. 423113369834,2026-07-14,Borussia Dortmund
423109889263,Ticket Nr. 423109889263,2026-07-15,Tabel Group
423990913226,Lieferanten für alle Sichtbar,2026-07-20,tobaccoland
424472220869,Fehlerhafte Synchronisation der Mengeneinheiten (Hivebuy / SAP),2026-07-21,Hamberger Industriewerke GmbH
427045860585,WG: Kaufanfragen,2026-07-22,Unassigned
425077551323,Mehrfachauswahl bei Filtern,2026-07-23,Securitas Deutschland
425599099071,Frage zur DATEV-Schnittstelle: Änderung des Herkunftskennzeichens seit letzter Woche,2026-07-27,Hydrogenious LOHC Technologies
427367214293,Fristen im Vertragsmanagement,2026-08-03,PIMA Health Group
427405441210,Re: Hivebuy - Informationen zu unserem neuesten Release vom 27.07.2026,2026-08-04,rebuy
427408819395,WG: [EXT] Erinnerung - Kaufanfragen warten auf Deine Entscheidung,2026-08-04,Hivebuy
427513919737,Fwd: Hivebuy Preiseinheiten Conrad,2026-08-06,igus SE & Co. KG.
427607802056,approval pending ohne Zuweisung der Belege,2026-08-06,rebuy
427674389740,AW: Bitte Benutzerdefinierte Felder für Produktkategorie Weiterbildung hinterlegen,2026-08-07,Media-Saturn Deutschland GmbH
428324367551,Ticket Nr. 428324367551,2026-08-12,HARO - Hamberger Flooring
428949079249,3 Invoices stuck in Approval Pending State without Current Approver,2026-08-13,rebuy
429042819296,BANF Einkauf mit Bearbeitung,2026-08-14,MediaMarktSaturn Retail Group
428996557027,Offene Themen BVB x Hivebuy,2026-08-14,Borussia Dortmund
